name,ingredients,duration,difficulty,img_url,ingredients_processed,removed_stopwords,cleaned_ingredients
A Christmas With Peking Duck,"['teaspoon light corn syrup', '( - lb.) Duck', 'teaspoon five spice powder', 'Hoisin sauce', 'teaspoon honey', 'teaspoon rice wine vinegar', 'teaspoons salt', 'Scallions', 'gallon boiling water', 'teaspoon white pepper']",45,Very hard,https://spoonacular.com/recipeImages/631888-556x370.jpg,"['teaspoon light corn syrup', '( - lb) duck', 'teaspoon five spice powder', 'hoisin sauce', 'teaspoon honey', 'teaspoon rice wine vinegar', 'teaspoons salt', 'scallions', 'gallon boiling water', 'teaspoon white pepper']",[],"['syrup', 'duck', 'honey', 'rice', 'salt', 'pepper']"
A Classic Caesar Salad,"['g oz thickly sliced crusty bread', 'large egg yolk', 'mltbsp extra virgin olive oil', 'mltbsp lemon juice', 'mltsp English mustard powder', 'g oz freshly grated Parmesan cheese.', 'head of Romaine lettuce, trimmed and washed', 'mltbsp sunflower oil', 'mltsp Tabasco sauce', 'tspml Worcestershire sauce']",45,Easy,https://spoonacular.com/recipeImages/631890-556x370.jpg,"['g oz thickly sliced crusty bread', 'large egg yolk', 'mltbsp extra virgin olive oil', 'mltbsp lemon juice', 'mltsp english mustard powder', 'g oz freshly grated parmesan cheese', 'head of romaine lettuce trimmed and washed', 'mltbsp sunflower oil', 'mltsp tabasco sauce', 'tspml worcestershire sauce']",[],"['bread', 'egg', 'lemon', 'mustard', 'cheese']"
African Chicken Peanut Stew,"['Bell Peppers for garnishing', '. cups of Chopped Chicken', '. Cooking spoons of oil', 'teaspoon of Curry', 'garlic cloves', 'Small piece of Chopped ginger', 'cup of groundnut (Blended) or  Cooking spoon of peanut Butter', 'handfuls of Chopped onions', 'Pepper', 'Salt', 'Seasoning', 'small sweet potato (Chopped)', 'Pinch of thyme', 'Chopped small tomato', '. Cooking spoons of Blended tomato']",45,Easy,https://spoonacular.com/recipeImages/716268-556x370.jpg,"['bell peppers for garnishing', ' cups of chopped chicken', ' cooking spoons of oil', 'teaspoon of curry', 'garlic cloves', 'small piece of chopped ginger', 'cup of groundnut (blended) or  cooking spoon of peanut butter', 'handfuls of chopped onions', 'pepper', 'salt', 'seasoning', 'small sweet potato (chopped)', 'pinch of thyme', 'chopped small tomato', ' cooking spoons of blended tomato']",[],"['peppers', 'chicken', 'garlic', 'butter', 'onions', 'pepper', 'salt', 'potato', 'thyme', 'tomato', 'tomato']"
Agave Glazed Carrots,"['mediums sized carrots, peeled and sliced ( cups)', 'tangerine, juiced ( cupseeds removed)', 'teaspoon zest from the tangerine', 'tablespoon unsalted butter', 'tablespoon blue agave nectar', 'Salt and freshly ground pepper to taste', 'Chopped flat-leaf parsley as optional garnish']",45,Very easy,https://spoonacular.com/recipeImages/632015-556x370.jpg,"['mediums sized carrots peeled and sliced ( cups)', 'tangerine juiced ( cupseeds removed)', 'teaspoon zest from the tangerine', 'tablespoon unsalted butter', 'tablespoon blue agave nectar', 'salt and freshly ground pepper to taste', 'chopped flat-leaf parsley as optional garnish']",[],"['carrots', 'unsalted, butter', 'salt, pepper', 'parsley']"
Agedashi Tofu,"['tablespoons cornstarch', 'green onions, chopped', 'tablespoons hoisin sauce', 'oil for frying', '( ounce) package silken tofu']",45,Easy,https://spoonacular.com/recipeImages/632017-556x370.jpg,"['tablespoons cornstarch', 'green onions chopped', 'tablespoons hoisin sauce', 'oil for frying', '( ounce) package silken tofu']",[],['onions']
A Healthy & Tasty Banana Shake,"['large & ripe bananas, peeled& cut up into chunks', 'Take a blender or a big bowl & add the cut up bananas, the vanilla extract & the vanilla rice milk.', 'dairy free', 'Serve it straight away & place a lovely coloured straw into the full glass.', 'healthy', 'milliliters of vanilla rice milk I use this one: Rice&', 'tablespoon of gluten free vanilla extract I use home made', 'vegan', 'Vegetarian', 'Blend it or mix it until completely smooth.', 'MMMMM,...!!!!', 'servings']",45,Very easy,https://spoonacular.com/recipeImages/631903-556x370.jpg,"['large & ripe bananas peeled& cut up into chunks', 'take a blender or a big bowl & add the cut up bananas the vanilla extract & the vanilla rice milk', 'dairy free', 'serve it straight away & place a lovely coloured straw into the full glass', 'healthy', 'milliliters of vanilla rice milk i use this one: rice&', 'tablespoon of gluten free vanilla extract i use home made', 'vegan', 'vegetarian', 'blend it or mix it until completely smooth', 'mmmmm!!!!', 'servings']",[],"['bananas', 'bananas, rice', 'rice, rice&']"
Ahi Tuna Ceviche,"['ahi tuna steak (approx. less than a  lb.)', 'small leaves of fresh mint', 'tablespoon rice vinegar (recommended: O Yuzu Rice Vinegar by O  of a Serrano pepper, very thinly sliced Juice of lime small leaves of fresh mintsprinkle of black sesame seeds (optional)', 'Juice of lime', 'of a Serrano pepper, very thinly sliced', 'tsp. sesame oil', 'In medium bowl mix soy sauce, toasted sesame oil, rice vinegar, Serrano pepper, lime juice, mint, and sesame seeds. Then add diced tuna and toss to coat.', 'tbsp. soy sauce', 'Serve immediately by mounding atop crackers, chips, micro-greens, or even roasted sweet potato slices.']",45,Easy,https://spoonacular.com/recipeImages/632021-556x370.jpg,"['ahi tuna steak (approx less than a  lb)', 'small leaves of fresh mint', 'tablespoon rice vinegar (recommended: o yuzu rice vinegar by o  of a serrano pepper very thinly sliced juice of lime small leaves of fresh mintsprinkle of black sesame seeds (optional)', 'juice of lime', 'of a serrano pepper very thinly sliced', 'tsp sesame oil', 'in medium bowl mix soy sauce toasted sesame oil rice vinegar serrano pepper lime juice mint and sesame seeds then add diced tuna and toss to coat', 'tbsp soy sauce', 'serve immediately by mounding atop crackers chips micro-greens or even roasted sweet potato slices']",[],"['tuna', 'rice, rice, pepper, lime', 'lime', 'pepper', 'rice, pepper, lime, tuna', 'potato']"
Allergy-Free Thin Mints,"['tablespoon baking powder', 'teaspoon baking soda', ""cup + Tablespoons Hershey's “Special Dark” cocoa powder"", 'cup + Tablespoons dairy-free, soy-free vegetable shortening', 'tablespoons dairy-free, soy-free vegetable shortening', 'teaspoons Ener-G egg replacer mixed with  Tablespoons water', 'cups my Basic Gluten-Free Flour Mix ( or Authen', 'cup granulated sugar', 'teaspoons peppermint extract', 'Salt to taste', 'tablespoons unsweetened applesauce', 'teaspoons pure vanilla extract', 'teaspoon xanthan gum']",45,Easy,https://spoonacular.com/recipeImages/632085-556x370.jpg,"['tablespoon baking powder', 'teaspoon baking soda', ""cup + tablespoons hershey's “special dark” cocoa powder"", 'cup + tablespoons dairy-free soy-free vegetable shortening', 'tablespoons dairy-free soy-free vegetable shortening', 'teaspoons ener-g egg replacer mixed with  tablespoons water', 'cups my basic gluten-free flour mix ( or authen', 'cup granulated sugar', 'teaspoons peppermint extract', 'salt to taste', 'tablespoons unsweetened applesauce', 'teaspoons pure vanilla extract', 'teaspoon xanthan gum']",[],"['egg', 'flour', 'sugar', 'peppermint', 'salt']"
Almond and cranberry shortbread,"['g butter, softened, cut into smaller pieces', 'g icing sugar', 'egg yolks', 'tsp lemon juice', 'g flour', 'g almonds, finely ground', 'g cranberries, dried', 'A handful of blanched almonds and  or pistachios, coarsely chopped']",45,Moderate,https://spoonacular.com/recipeImages/632091-556x370.jpg,"['g butter softened cut into smaller pieces', 'g icing sugar', 'egg yolks', 'tsp lemon juice', 'g flour', 'g almonds finely ground', 'g cranberries dried', 'a handful of blanched almonds and  or pistachios coarsely chopped']",[],"['butter', 'sugar', 'egg', 'lemon', 'flour', 'pistachios']"
Almond Butter and Chocolate Squares,"['cup vegan butter ( stick), melted', 'cups powdered sugar (try Swerve all natural, no calorie powdered sugar – perfect for diabetics!)', 'cups vegan graham cracker crumbs or vegan vanilla cookie crumbs', 'cup almond butter (you can use peanut butter too if you prefer)', 'ounces vegan dark chocolate']",45,Very hard,https://spoonacular.com/recipeImages/632101-556x370.jpg,"['cup vegan butter ( stick) melted', 'cups powdered sugar (try swerve all natural no calorie powdered sugar – perfect for diabetics!)', 'cups vegan graham cracker crumbs or vegan vanilla cookie crumbs', 'cup almond butter (you can use peanut butter too if you prefer)', 'ounces vegan dark chocolate']",[],"['butter', 'sugar, sugar', 'graham', 'butter, butter']"
